Created with UCDetector 2.0.0	2026-08-05 14:18:36	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
Location	Description	Java	Marker	Author
HW1.Main.<init>(Main.java:7)	Change visibility of Class "Main" to default - May cause compile errors!	Main	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.Main.showRestAdmins(Main.java:14)	Change visibility of Method "Main.showRestAdmins()" to private	Main.showRestAdmins()	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW1.Main.showRestaurants(Main.java:22)	Change visibility of Method "Main.showRestaurants()" to private	Main.showRestaurants()	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW1.Main.showRiders(Main.java:30)	Change visibility of Method "Main.showRiders()" to private	Main.showRiders()	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW1.Main.showOrders(Main.java:38)	Change visibility of Method "Main.showOrders()" to private	Main.showOrders()	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW1.Main.showCustomers(Main.java:46)	Change visibility of Method "Main.showCustomers()" to private	Main.showCustomers()	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW1.Main.adminMenu(Main.java:54)	Change visibility of Method "Main.adminMenu()" to private	Main.adminMenu()	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW1.Main.resAdminMenu(Main.java:174)	Change visibility of Method "Main.resAdminMenu()" to private	Main.resAdminMenu()	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW1.Main.riderMenu(Main.java:315)	Change visibility of Method "Main.riderMenu()" to private	Main.riderMenu()	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW1.Main.customerMenu(Main.java:402)	Change visibility of Method "Main.customerMenu()" to private	Main.customerMenu()	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW1.Main.mainMenu(Main.java:508)	Change visibility of Method "Main.mainMenu()" to private	Main.mainMenu()	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW1.Main.BACK(Main.java:11)	Change visibility of Constant "Main.BACK" to default	Main.BACK	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.Date.<init>(Date.java:3)	Change visibility of Class "Date" to default - May cause compile errors!	Date	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.Date.Date(Date.java:6)	Change visibility of Constructor "Date.Date(int,int,int)" to default	Date.Date(int,int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.Date.isAfter(Date.java:46)	Change visibility of Method "Date.isAfter(Date)" to default	Date.isAfter(Date)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.DeliverySystem.<init>(DeliverySystem.java:6)	Change visibility of Class "DeliverySystem" to default - May cause compile errors!	DeliverySystem	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.DeliverySystem.isRestaurantOpen(DeliverySystem.java:21)	Change visibility of Method "DeliverySystem.isRestaurantOpen(int)" to default	DeliverySystem.isRestaurantOpen(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.DeliverySystem.tryGetAdmin(DeliverySystem.java:31)	Change visibility of Method "DeliverySystem.tryGetAdmin(String,int)" to default	DeliverySystem.tryGetAdmin(String,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
